id,original_answer,lexical_answer,syntactic_answer,indirect_answer,gold_answer,row_accuracy
1,True,True,True,True,True,1.0
2,False,False,False,True,False,0.75
3,False,False,False,False,False,1.0
4,True,True,True,True,True,1.0
5,True,False,True,True,False,0.25
6,False,False,False,False,False,1.0
7,False,False,False,False,False,1.0
8,True,True,True,True,True,1.0
9,False,False,False,False,False,1.0
10,False,False,False,False,False,1.0
11,True,True,True,False,True,0.75
12,False,False,False,False,False,1.0
13,True,True,True,True,False,0.0
14,False,False,False,False,False,1.0
16,True,True,True,False,True,0.75
17,False,False,False,True,False,0.75
18,True,True,True,True,True,1.0
19,False,False,False,False,False,1.0
20,True,True,True,True,True,1.0
21,False,False,False,True,False,0.75
23,True,True,True,True,True,1.0
24,True,False,True,True,False,0.25
25,False,False,False,True,False,0.75
26,True,True,True,True,True,1.0
27,True,True,True,True,True,1.0
29,True,True,True,True,True,1.0
30,True,True,True,False,False,0.25
31,False,False,False,False,False,1.0
32,True,True,True,True,True,1.0
33,True,True,True,True,True,1.0
34,True,True,True,True,True,1.0
35,True,True,True,False,True,0.75
36,False,False,False,False,False,1.0
37,False,False,False,False,False,1.0
38,False,False,False,False,True,0.0
40,False,False,False,True,False,0.75
41,False,True,True,False,True,0.5
42,False,False,False,False,False,1.0
43,True,False,False,False,False,0.75
44,False,False,False,False,False,1.0
45,False,False,False,False,False,1.0
46,True,True,True,False,True,0.75
49,False,False,False,False,False,1.0
50,True,True,True,True,True,1.0
51,False,False,False,False,False,1.0
53,False,False,False,False,False,1.0
54,False,False,False,False,False,1.0
56,False,False,False,False,False,1.0
57,False,False,False,False,False,1.0
58,False,False,False,False,False,1.0
59,True,False,False,False,False,0.75
60,True,True,True,True,True,1.0
62,True,True,True,True,True,1.0
64,False,False,False,False,False,1.0
65,False,False,False,False,False,1.0
66,False,False,False,False,False,1.0
67,False,False,True,False,False,0.75
68,False,False,False,False,False,1.0
69,True,True,True,True,True,1.0
70,True,True,True,False,False,0.25
71,False,False,False,False,False,1.0
72,True,True,True,True,True,1.0
73,False,False,False,False,False,1.0
74,True,True,True,True,True,1.0
75,False,False,False,False,False,1.0
76,False,False,False,False,False,1.0
77,True,True,True,True,True,1.0
78,False,False,False,False,False,1.0
80,True,True,True,False,True,0.75
81,True,True,False,False,True,0.5
82,False,True,True,False,False,0.5
84,False,False,False,False,False,1.0
85,True,True,False,True,True,0.75
86,True,True,True,True,True,1.0
87,False,False,False,False,False,1.0
88,False,False,False,False,False,1.0
89,True,False,False,False,True,0.25
90,True,True,True,True,True,1.0
91,False,False,False,False,False,1.0
93,True,True,True,True,True,1.0
94,False,False,False,False,False,1.0
95,True,True,True,False,False,0.25
96,True,False,True,False,True,0.5
97,False,False,False,False,False,1.0
98,True,True,True,False,True,0.75
99,True,True,True,True,True,1.0
100,False,True,True,True,True,0.75
101,False,False,True,False,True,0.25
102,True,True,True,True,True,1.0
103,True,True,True,True,True,1.0
104,False,True,False,False,True,0.25
105,False,False,False,False,False,1.0
106,True,True,True,True,True,1.0
107,True,True,True,True,True,1.0
108,False,False,False,False,False,1.0
109,False,True,False,False,False,0.75
110,True,False,False,True,False,0.5
112,True,True,True,True,True,1.0
113,True,True,True,False,True,0.75
114,True,True,True,True,True,1.0
115,True,True,True,True,True,1.0
116,True,True,True,True,True,1.0
117,False,False,False,True,True,0.25
119,False,False,False,False,False,1.0
120,False,False,False,False,False,1.0
121,True,True,True,True,True,1.0
125,False,False,False,False,False,1.0
126,False,False,False,False,True,0.0
127,False,False,False,False,False,1.0
128,False,False,False,False,False,1.0
129,False,False,False,False,False,1.0
130,False,False,False,False,False,1.0
131,False,False,False,False,False,1.0
132,False,False,False,False,False,1.0
133,True,True,True,True,True,1.0
134,False,False,True,False,True,0.25
135,False,False,False,True,False,0.75
136,True,True,True,True,False,0.0
137,False,False,False,False,False,1.0
139,False,False,False,False,False,1.0
140,True,True,True,True,True,1.0
141,True,True,True,True,True,1.0
142,True,True,True,True,True,1.0
143,True,True,True,True,True,1.0
144,False,True,False,False,True,0.25
145,False,False,False,False,True,0.0
146,False,False,False,False,False,1.0
147,True,True,True,True,True,1.0
148,False,False,False,False,False,1.0
149,False,False,False,False,False,1.0
150,False,False,False,False,False,1.0
151,True,True,True,True,True,1.0
152,False,False,False,False,False,1.0
153,True,True,True,False,True,0.75
154,False,True,False,False,False,0.75
156,False,False,True,False,False,0.75
157,False,True,False,True,True,0.5
158,False,False,False,False,False,1.0
159,False,False,False,False,False,1.0
160,True,True,True,True,True,1.0
162,True,True,True,True,True,1.0
164,False,False,False,False,False,1.0
165,False,False,False,False,False,1.0
167,False,False,False,False,False,1.0
168,True,True,True,True,True,1.0
169,False,False,False,False,False,1.0
170,False,False,False,False,False,1.0
172,False,False,False,False,False,1.0
173,False,False,False,False,False,1.0
175,False,False,False,False,False,1.0
176,True,True,True,True,True,1.0
177,False,False,False,False,False,1.0
178,False,False,False,False,False,1.0
179,True,True,False,False,True,0.5
180,True,False,True,True,True,0.75
181,False,False,False,False,False,1.0
182,True,True,True,True,True,1.0
183,True,True,True,True,False,0.0
185,True,True,True,True,True,1.0
186,True,True,True,True,True,1.0
187,False,False,False,False,False,1.0
189,True,True,True,False,True,0.75
190,True,True,True,False,False,0.25
192,False,False,False,False,False,1.0
193,False,False,False,False,False,1.0
194,False,False,False,False,False,1.0
195,True,True,True,False,False,0.25
196,True,True,True,True,True,1.0
198,True,True,True,True,True,1.0
199,False,False,False,False,False,1.0
201,False,False,False,False,False,1.0
202,True,True,True,True,True,1.0
203,False,True,True,True,False,0.25
204,False,False,False,False,False,1.0
205,False,False,False,False,False,1.0
206,False,False,False,True,False,0.75
207,False,False,False,False,False,1.0
208,True,True,True,False,False,0.25
209,False,False,False,False,False,1.0
210,False,False,False,False,False,1.0
211,False,False,False,False,False,1.0
212,False,False,False,False,False,1.0
213,True,True,True,True,True,1.0
214,True,True,True,False,True,0.75
215,True,True,True,True,True,1.0
216,False,False,False,False,False,1.0
217,True,True,True,True,True,1.0
218,False,False,False,False,False,1.0
219,True,True,True,True,True,1.0
220,False,False,False,False,False,1.0
221,False,False,False,False,False,1.0
222,False,False,False,True,False,0.75
223,True,True,True,True,True,1.0
224,True,True,True,True,True,1.0
225,False,False,False,False,False,1.0
226,False,False,False,False,False,1.0
227,True,False,True,True,True,0.75
228,True,True,True,True,True,1.0
229,True,True,True,True,True,1.0
230,True,True,False,False,False,0.5
231,False,False,False,False,False,1.0
232,False,False,False,False,False,1.0
233,False,True,False,False,False,0.75
234,True,True,True,False,False,0.25
236,True,False,False,False,True,0.25
237,False,False,False,False,False,1.0
238,False,False,False,False,False,1.0
240,False,True,False,True,False,0.5
241,False,False,False,False,False,1.0
242,True,True,True,True,False,0.0
243,False,False,False,False,False,1.0
244,False,False,False,False,False,1.0
245,False,False,False,False,False,1.0
246,False,False,False,True,False,0.75
247,True,True,True,True,True,1.0
248,False,False,False,False,False,1.0
249,True,True,True,False,True,0.75
250,False,False,False,False,False,1.0
251,True,True,True,False,True,0.75
252,False,False,True,False,True,0.25
253,True,True,True,True,True,1.0
254,False,False,False,False,True,0.0
255,True,True,True,True,True,1.0
256,True,True,True,True,True,1.0
257,True,True,True,False,True,0.75
258,False,False,True,True,False,0.5
260,False,False,False,False,False,1.0
261,False,True,False,False,False,0.75
262,False,False,False,False,False,1.0
263,True,True,True,True,True,1.0
