id,cot_original_parsed,cot_lexical_parsed,cot_syntactic_parsed,cot_contextual_parsed
1,"[{""step_text"": ""144 / 12 = 12"", ""derived_number_str"": ""12"", ""derived_value"": 12.0, ""preceding_context"": ""in 144 cans:"", ""is_final_answer"": false}, {""step_text"": ""$0.50 * 12 = $6"", ""derived_number_str"": ""6"", ""derived_value"": 6.0, ""preceding_context"": ""of 12 cans:"", ""is_final_answer"": false}, {""step_text"": ""20 / 5 = 4"", ""derived_number_str"": ""4"", ""derived_value"": 4.0, ""preceding_context"": ""in 20 kilograms:"", ""is_final_answer"": false}, {""step_text"": ""$1.50 * 4 = $6"", ""derived_number_str"": ""6"", ""derived_value"": 6.0, ""preceding_context"": ""of 5 kilograms:"", ""is_final_answer"": false}, {""step_text"": ""$6 (cans) + $6 (newspapers) = $12"", ""derived_number_str"": ""12"", ""derived_value"": 12.0, ""preceding_context"": ""money earned ="", ""is_final_answer"": true}]","[{""step_text"": ""0.5*12=6"", ""derived_number_str"": ""6"", ""derived_value"": 6.0, ""preceding_context"": ""* 12 = $"", ""is_final_answer"": false}, {""step_text"": ""1.5*(5/1000)=0.075"", ""derived_number_str"": ""0.075"", ""derived_value"": 0.075, ""preceding_context"": ""(5 / 1000) = $"", ""is_final_answer"": false}, {""step_text"": ""0.075*20=3.5"", ""derived_number_str"": ""3.5"", ""derived_value"": 3.5, ""preceding_context"": ""* 20 = $"", ""is_final_answer"": false}, {""step_text"": ""6+3.5=9.5"", ""derived_number_str"": ""9.5"", ""derived_value"": 9.5, ""preceding_context"": ""(from newspapers) = $"", ""is_final_answer"": true}]","[{""step_text"": ""= 12 sets"", ""derived_number_str"": ""12"", ""derived_value"": 12.0, ""preceding_context"": ""12 cans/set\n="", ""is_final_answer"": false}, {""step_text"": ""= $6"", ""derived_number_str"": ""6"", ""derived_value"": 6.0, ""preceding_context"": ""0.50/set\n="", ""is_final_answer"": false}, {""step_text"": ""= 4 sets"", ""derived_number_str"": ""4"", ""derived_value"": 4.0, ""preceding_context"": ""5 kg/set\n="", ""is_final_answer"": false}, {""step_text"": ""= $6"", ""derived_number_str"": ""6"", ""derived_value"": 6.0, ""preceding_context"": ""1.50/set\n="", ""is_final_answer"": false}, {""step_text"": ""= $12"", ""derived_number_str"": ""12"", ""derived_value"": 12.0, ""preceding_context"": ""$6 + $6\n="", ""is_final_answer"": true}]","[{""step_text"": ""144 cans / 12 cans/set = 12 sets"", ""derived_number_str"": ""12"", ""derived_value"": 12.0, ""preceding_context"": ""Cans per set ="", ""is_final_answer"": false}, {""step_text"": ""12 sets * $0.50/set = $6"", ""derived_number_str"": ""6"", ""derived_value"": 6.0, ""preceding_context"": ""Money per set ="", ""is_final_answer"": false}, {""step_text"": ""20 kg / 5 kg/set = 4 sets"", ""derived_number_str"": ""4"", ""derived_value"": 4.0, ""preceding_context"": ""Weight of a set ="", ""is_final_answer"": false}, {""step_text"": ""4 sets * $1.50/set = $6"", ""derived_number_str"": ""6"", ""derived_value"": 6.0, ""preceding_context"": ""Money per set ="", ""is_final_answer"": false}, {""step_text"": ""$6 + $6 = $12"", ""derived_number_str"": ""12"", ""derived_value"": 12.0, ""preceding_context"": ""Money from newspapers ="", ""is_final_answer"": true}]"
3,"[{""step_text"": ""Total number of pages = 960 pages"", ""derived_number_str"": ""960"", ""derived_value"": 960.0, ""preceding_context"": ""of pages ="", ""is_final_answer"": false}, {""step_text"": ""Average number of pages = 160 pages/book"", ""derived_number_str"": ""160"", ""derived_value"": 160.0, ""preceding_context"": ""of pages ="", ""is_final_answer"": true}]","[{""step_text"": ""12 inches * 80 pages/inch"", ""derived_number_str"": ""960"", ""derived_value"": 960.0, ""preceding_context"": ""Total Pages ="", ""is_final_answer"": false}, {""step_text"": ""960 pages / 6 books"", ""derived_number_str"": ""160"", ""derived_value"": 160.0, ""preceding_context"": ""per Book ="", ""is_final_answer"": true}]","[{""step_text"": ""12 inches * 80 pages/inch = <<12*80=960>>960"", ""derived_number_str"": ""960"", ""derived_value"": 960.0, ""preceding_context"": ""total number of pages is"", ""is_final_answer"": false}, {""step_text"": ""960 pages / 6 books = <<960/6=160>>160"", ""derived_number_str"": ""160"", ""derived_value"": 160.0, ""preceding_context"": ""number of books:"", ""is_final_answer"": true}]","[{""step_text"": ""12 inches * 80 pages/inch\n= 960 pages"", ""derived_number_str"": ""960"", ""derived_value"": 960.0, ""preceding_context"": ""= 80 pages/inch"", ""is_final_answer"": false}, {""step_text"": ""960 pages / 6 books\n= 160 pages/book"", ""derived_number_str"": ""160"", ""derived_value"": 160.0, ""preceding_context"": ""= 6 books"", ""is_final_answer"": true}]"
4,"[{""step_text"": ""Half of 500 is 250"", ""derived_number_str"": ""250"", ""derived_value"": 250.0, ""preceding_context"": ""of 500 is"", ""is_final_answer"": false}, {""step_text"": ""500 - 250 = 250"", ""derived_number_str"": ""250"", ""derived_value"": 250.0, ""preceding_context"": ""Legos. 500 - 250 ="", ""is_final_answer"": false}, {""step_text"": ""Final Answer: 245 Legos."", ""derived_number_str"": ""245"", ""derived_value"": 245.0, ""preceding_context"": ""is 250 - 5."", ""is_final_answer"": true}]","[{""step_text"": ""500/2 = 250"", ""derived_number_str"": ""250"", ""derived_value"": 250.0, ""preceding_context"": ""he uses"", ""is_final_answer"": false}, {""step_text"": ""500 - 250 - 5 = 245"", ""derived_number_str"": ""245"", ""derived_value"": 245.0, ""preceding_context"": ""box is"", ""is_final_answer"": true}]","[{""step_text"": ""500 * 0.5 = 250"", ""derived_number_str"": ""250"", ""derived_value"": 250.0, ""preceding_context"": ""used "", ""is_final_answer"": false}, {""step_text"": ""500 - 250 + 5 = 755"", ""derived_number_str"": ""755"", ""derived_value"": 755.0, ""preceding_context"": ""is "", ""is_final_answer"": true}]","[{""step_text"": ""500 / 2 = 250"", ""derived_number_str"": ""250"", ""derived_value"": 250.0, ""preceding_context"": ""so he uses"", ""is_final_answer"": false}, {""step_text"": ""500 - 250 = 250"", ""derived_number_str"": ""250"", ""derived_value"": 250.0, ""preceding_context"": ""box, which is"", ""is_final_answer"": false}, {""step_text"": ""250 - 5 = 245"", ""derived_number_str"": ""245"", ""derived_value"": 245.0, ""preceding_context"": ""the box is"", ""is_final_answer"": true}]"
5,"[{""step_text"": ""3 * $2/pound = $<<3*2=6>>6"", ""derived_number_str"": ""6"", ""derived_value"": 6.0, ""preceding_context"": ""peaches is"", ""is_final_answer"": false}, {""step_text"": ""$20 - $6 = $<<20-6=14>>14"", ""derived_number_str"": ""14"", ""derived_value"": 14.0, ""preceding_context"": ""had $20 - $6 ="", ""is_final_answer"": true}]","[{""step_text"": ""3 * 16 = <<3*16=48>>48"", ""derived_number_str"": ""48"", ""derived_value"": 48.0, ""preceding_context"": ""3 * 16 ="", ""is_final_answer"": false}, {""step_text"": ""$2 * 3 = <<2*3=6>>6"", ""derived_number_str"": ""6"", ""derived_value"": 6.0, ""preceding_context"": ""Total cost = $2 * 3 ="", ""is_final_answer"": false}, {""step_text"": ""6 * 16 = <<6*16=96>>96"", ""derived_number_str"": ""96"", ""derived_value"": 96.0, ""preceding_context"": ""3=6>>6 * 16 ="", ""is_final_answer"": false}, {""step_text"": ""96 cents or $0.96"", ""derived_number_str"": ""0.96"", ""derived_value"": 0.96, ""preceding_context"": ""6=96>>96 cents or $"", ""is_final_answer"": false}, {""step_text"": ""$20 - $0.96 = $19.99"", ""derived_number_str"": ""19.99"", ""derived_value"": 19.99, ""preceding_context"": ""amount = $20 - $0.96 ="", ""is_final_answer"": true}]","[{""step_text"": ""3 * $2 = $6"", ""derived_number_str"": ""$6"", ""derived_value"": 6.0, ""preceding_context"": ""was 3 * $2 ="", ""is_final_answer"": false}, {""step_text"": ""$20 - $6 = $14"", ""derived_number_str"": ""$14"", ""derived_value"": 14.0, ""preceding_context"": ""= $20 -"", ""is_final_answer"": true}]","[{""step_text"": ""3 * $2/pound = $6"", ""derived_number_str"": ""6"", ""derived_value"": 6.0, ""preceding_context"": ""of peaches is"", ""is_final_answer"": false}, {""step_text"": ""$20 - $6 = $14"", ""derived_number_str"": ""14"", ""derived_value"": 14.0, ""preceding_context"": ""Ines' initial amount."", ""is_final_answer"": true}]"
6,"[{""step_text"": ""$80 + $10*4 = $100"", ""derived_number_str"": ""$100"", ""derived_value"": 100.0, ""preceding_context"": ""fee is"", ""is_final_answer"": false}, {""step_text"": ""$110"", ""derived_number_str"": ""$110"", ""derived_value"": 110.0, ""preceding_context"": ""making it"", ""is_final_answer"": true}]","[{""step_text"": ""$80 + $10 = $90"", ""derived_number_str"": ""$90"", ""derived_value"": 90.0, ""preceding_context"": ""second year is"", ""is_final_answer"": false}, {""step_text"": ""$90 + $10 = $100"", ""derived_number_str"": ""$100"", ""derived_value"": 100.0, ""preceding_context"": ""third year is"", ""is_final_answer"": false}, {""step_text"": ""$100 + $10 = $110"", ""derived_number_str"": ""$110"", ""derived_value"": 110.0, ""preceding_context"": ""fourth year is"", ""is_final_answer"": false}, {""step_text"": ""$110 + $10 = $120"", ""derived_number_str"": ""$120"", ""derived_value"": 120.0, ""preceding_context"": ""fifth year is"", ""is_final_answer"": false}, {""step_text"": ""$120 + $10 = $130"", ""derived_number_str"": ""$130"", ""derived_value"": 130.0, ""preceding_context"": ""sixth year is"", ""is_final_answer"": true}]","[{""step_text"": ""$80 + $10 = $90"", ""derived_number_str"": ""90"", ""derived_value"": 90.0, ""preceding_context"": ""brings the fee to"", ""is_final_answer"": false}, {""step_text"": ""$90 + $10 = $100"", ""derived_number_str"": ""100"", ""derived_value"": 100.0, ""preceding_context"": ""brings the fee to"", ""is_final_answer"": false}, {""step_text"": ""$100 + $10 = $110"", ""derived_number_str"": ""110"", ""derived_value"": 110.0, ""preceding_context"": ""brings the fee to"", ""is_final_answer"": false}, {""step_text"": ""$110 + $10 = $120"", ""derived_number_str"": ""120"", ""derived_value"": 120.0, ""preceding_context"": ""brings the fee to"", ""is_final_answer"": false}, {""step_text"": ""$120 + $10 = $130"", ""derived_number_str"": ""130"", ""derived_value"": 130.0, ""preceding_context"": ""brings the fee to"", ""is_final_answer"": false}, {""step_text"": ""$130 + $10 = $140"", ""derived_number_str"": ""140"", ""derived_value"": 140.0, ""preceding_context"": ""brings the fee to"", ""is_final_answer"": true}]","[{""step_text"": ""$80 + $10 = $90"", ""derived_number_str"": ""90"", ""derived_value"": 90.0, ""preceding_context"": ""year, he pays"", ""is_final_answer"": false}, {""step_text"": ""$90 + $10 = $100"", ""derived_number_str"": ""100"", ""derived_value"": 100.0, ""preceding_context"": ""year, he pays"", ""is_final_answer"": false}, {""step_text"": ""$100 + $10 = $110"", ""derived_number_str"": ""110"", ""derived_value"": 110.0, ""preceding_context"": ""year, he pays"", ""is_final_answer"": false}, {""step_text"": ""$110 + $10 = $120"", ""derived_number_str"": ""120"", ""derived_value"": 120.0, ""preceding_context"": ""year, he pays"", ""is_final_answer"": false}, {""step_text"": ""$120 + $10 = $130"", ""derived_number_str"": ""130"", ""derived_value"": 130.0, ""preceding_context"": ""year, he pays"", ""is_final_answer"": true}]"
8,"[{""step_text"": ""$20 * 2 = $40"", ""derived_number_str"": ""40"", ""derived_value"": 40.0, ""preceding_context"": ""wooden toys ="", ""is_final_answer"": false}, {""step_text"": ""$10 * 3 = $30"", ""derived_number_str"": ""30"", ""derived_value"": 30.0, ""preceding_context"": ""three hats ="", ""is_final_answer"": false}, {""step_text"": ""$40 (wooden toys) + $30 (hats) = $70"", ""derived_number_str"": ""70"", ""derived_value"": 70.0, ""preceding_context"": ""Total cost ="", ""is_final_answer"": false}, {""step_text"": ""$100 - $70 = $30"", ""derived_number_str"": ""30"", ""derived_value"": 30.0, ""preceding_context"": ""Change ="", ""is_final_answer"": true}]","[{""step_text"": ""$20 * 2 = $<<20*2=40>>40"", ""derived_number_str"": ""40"", ""derived_value"": 40.0, ""preceding_context"": ""cost of toys:"", ""is_final_answer"": false}, {""step_text"": ""$10 * 3 = $<<10*3=30>>30"", ""derived_number_str"": ""30"", ""derived_value"": 30.0, ""preceding_context"": ""cost of hats:"", ""is_final_answer"": false}, {""step_text"": ""$40 (toys) + $30 (hats) = $<<40+30=70>>70"", ""derived_number_str"": ""70"", ""derived_value"": 70.0, ""preceding_context"": ""Total cost:"", ""is_final_answer"": false}, {""step_text"": ""$100 - $70 = $<<100-70=30>>30"", ""derived_number_str"": ""30"", ""derived_value"": 30.0, ""preceding_context"": ""Change:"", ""is_final_answer"": false}]","[{""step_text"": ""$20 * 2 = $40"", ""derived_number_str"": ""40"", ""derived_value"": 40.0, ""preceding_context"": ""2 toys cost"", ""is_final_answer"": false}, {""step_text"": ""$10 * 3 = $30"", ""derived_number_str"": ""30"", ""derived_value"": 30.0, ""preceding_context"": ""3 hats cost"", ""is_final_answer"": false}, {""step_text"": ""$40 (toys) + $30 (hats) = $70"", ""derived_number_str"": ""70"", ""derived_value"": 70.0, ""preceding_context"": ""30 (hats) ="", ""is_final_answer"": false}, {""step_text"": ""$100 (amount of money Kendra brought) - $70 (total amount spent) = $30"", ""derived_number_str"": ""30"", ""derived_value"": 30.0, ""preceding_context"": ""amount spent) ="", ""is_final_answer"": true}]","[{""step_text"": ""2 * $20"", ""derived_number_str"": ""$40"", ""derived_value"": 40.0, ""preceding_context"": ""wooden toys ="", ""is_final_answer"": false}, {""step_text"": ""3 * $10"", ""derived_number_str"": ""$30"", ""derived_value"": 30.0, ""preceding_context"": ""cost of hats ="", ""is_final_answer"": false}, {""step_text"": ""$40 + $30"", ""derived_number_str"": ""$70"", ""derived_value"": 70.0, ""preceding_context"": ""Total cost ="", ""is_final_answer"": false}, {""step_text"": ""$100 - $70"", ""derived_number_str"": ""$30"", ""derived_value"": 30.0, ""preceding_context"": ""Change ="", ""is_final_answer"": true}]"
9,"[{""step_text"": ""16 cm * 1.25"", ""derived_number_str"": ""20"", ""derived_value"": 20.0, ""preceding_context"": ""tail length = "", ""is_final_answer"": false}, {""step_text"": ""20 cm * 1.25"", ""derived_number_str"": ""25"", ""derived_value"": 25.0, ""preceding_context"": ""tail length = "", ""is_final_answer"": true}]","[{""step_text"": ""1 + 0.25"", ""derived_number_str"": ""1.25"", ""derived_value"": 1.25, ""preceding_context"": ""cm * ("", ""is_final_answer"": false}, {""step_text"": ""36 cm"", ""derived_number_str"": ""36"", ""derived_value"": 36.0, ""preceding_context"": ""tails ="", ""is_final_answer"": false}, {""step_text"": ""45.36 cm"", ""derived_number_str"": ""45.36"", ""derived_value"": 45.36, ""preceding_context"": ""tails ="", ""is_final_answer"": false}, {""step_text"": ""46 cm"", ""derived_number_str"": ""46"", ""derived_value"": 46.0, ""preceding_context"": ""measure"", ""is_final_answer"": true}]","[{""step_text"": ""(1 + 0.25)"", ""derived_number_str"": ""1.25"", ""derived_value"": 1.25, ""preceding_context"": ""16 cm *"", ""is_final_answer"": false}, {""step_text"": ""16 cm * (1 + 0.25)"", ""derived_number_str"": ""20"", ""derived_value"": 20.0, ""preceding_context"": ""second generation ="", ""is_final_answer"": false}, {""step_text"": ""20 cm * (1 + 0.25)"", ""derived_number_str"": ""25"", ""derived_value"": 25.0, ""preceding_context"": ""third generation ="", ""is_final_answer"": true}]","[{""step_text"": ""Length of second generation\u2019s tails = 20 cm"", ""derived_number_str"": ""20"", ""derived_value"": 20.0, ""preceding_context"": ""tails = 16 cm * 1.25"", ""is_final_answer"": false}, {""step_text"": ""Length of third generation\u2019s tails = 25 cm"", ""derived_number_str"": ""25"", ""derived_value"": 25.0, ""preceding_context"": ""tails = 20 cm * 1.25"", ""is_final_answer"": true}]"
10,"[{""step_text"": ""53 * 0.5 = 26.5"", ""derived_number_str"": ""26.5"", ""derived_value"": 26.5, ""preceding_context"": ""children: 53 * 0.5 ="", ""is_final_answer"": false}, {""step_text"": ""round up to 27"", ""derived_number_str"": ""27"", ""derived_value"": 27.0, ""preceding_context"": ""round up to"", ""is_final_answer"": false}, {""step_text"": ""35 * 1 = 35"", ""derived_number_str"": ""35"", ""derived_value"": 35.0, ""preceding_context"": ""children: 35 * 1 ="", ""is_final_answer"": false}, {""step_text"": ""75 * 2 = 150"", ""derived_number_str"": ""150"", ""derived_value"": 150.0, ""preceding_context"": ""Adults: 75 * 2 ="", ""is_final_answer"": false}, {""step_text"": ""37 * 1.5 = 55.5"", ""derived_number_str"": ""55.5"", ""derived_value"": 55.5, ""preceding_context"": ""Seniors: 37 * 1.5 ="", ""is_final_answer"": false}, {""step_text"": ""round up to 56"", ""derived_number_str"": ""56"", ""derived_value"": 56.0, ""preceding_context"": ""round up to"", ""is_final_answer"": false}, {""step_text"": ""27 + 35 + 150 + 56 = 218"", ""derived_number_str"": ""218"", ""derived_value"": 218.0, ""preceding_context"": ""150 + 56 ="", ""is_final_answer"": false}, {""step_text"": ""218 * 2 = 436"", ""derived_number_str"": ""436"", ""derived_value"": 436.0, ""preceding_context"": ""needed is 218 * 2 ="", ""is_final_answer"": false}, {""step_text"": ""25 * 2 = 50"", ""derived_number_str"": ""50"", ""derived_value"": 50.0, ""preceding_context"": ""omelets = 25 * 2 ="", ""is_final_answer"": false}, {""step_text"": ""436 + 50 = 486"", ""derived_number_str"": ""486"", ""derived_value"": 486.0, ""preceding_context"": ""436 + 50 ="", ""is_final_answer"": true}]","[{""step_text"": ""53 * 0.5 = 26.5"", ""derived_number_str"": ""26.5"", ""derived_value"": 26.5, ""preceding_context"": ""Small children:"", ""is_final_answer"": false}, {""step_text"": ""round up to 27"", ""derived_number_str"": ""27"", ""derived_value"": 27.0, ""preceding_context"": ""round up to"", ""is_final_answer"": false}, {""step_text"": ""35 * 1 = 35"", ""derived_number_str"": ""35"", ""derived_value"": 35.0, ""preceding_context"": ""Older children:"", ""is_final_answer"": false}, {""step_text"": ""75 * 2 = 150"", ""derived_number_str"": ""150"", ""derived_value"": 150.0, ""preceding_context"": ""Adults:"", ""is_final_answer"": false}, {""step_text"": ""37 * 1.5 = 55.5"", ""derived_number_str"": ""55.5"", ""derived_value"": 55.5, ""preceding_context"": ""Seniors:"", ""is_final_answer"": false}, {""step_text"": ""round up to 56"", ""derived_number_str"": ""56"", ""derived_value"": 56.0, ""preceding_context"": ""round up to"", ""is_final_answer"": false}, {""step_text"": ""27 + 35 + 150 + 56 = 218"", ""derived_number_str"": ""218"", ""derived_value"": 218.0, ""preceding_context"": ""Total omelets ="", ""is_final_answer"": false}, {""step_text"": ""218 omelets * 2 eggs/omelet = 436"", ""derived_number_str"": ""436"", ""derived_value"": 436.0, ""preceding_context"": ""Eggs for omelets ="", ""is_final_answer"": false}, {""step_text"": ""25 omelets * 2 eggs/omelet = 50"", ""derived_number_str"": ""50"", ""derived_value"": 50.0, ""preceding_context"": ""Eggs for extra omelets ="", ""is_final_answer"": false}, {""step_text"": ""436 eggs + 50 eggs = 486"", ""derived_number_str"": ""486"", ""derived_value"": 486.0, ""preceding_context"": ""Total eggs ="", ""is_final_answer"": true}]","[{""step_text"": ""53 * 0.5 = 26.5"", ""derived_number_str"": ""26.5"", ""derived_value"": 26.5, ""preceding_context"": ""Small children: "", ""is_final_answer"": false}, {""step_text"": ""round up to 27"", ""derived_number_str"": ""27"", ""derived_value"": 27.0, ""preceding_context"": ""26.5, round up to "", ""is_final_answer"": false}, {""step_text"": ""35 * 1 = 35"", ""derived_number_str"": ""35"", ""derived_value"": 35.0, ""preceding_context"": ""Older children: "", ""is_final_answer"": false}, {""step_text"": ""75 * 2 = 150"", ""derived_number_str"": ""150"", ""derived_value"": 150.0, ""preceding_context"": ""Adults: "", ""is_final_answer"": false}, {""step_text"": ""37 * 1.5 = 55.5"", ""derived_number_str"": ""55.5"", ""derived_value"": 55.5, ""preceding_context"": ""Seniors: "", ""is_final_answer"": false}, {""step_text"": ""round up to 56"", ""derived_number_str"": ""56"", ""derived_value"": 56.0, ""preceding_context"": ""55.5, round up to "", ""is_final_answer"": false}, {""step_text"": ""27 + 35 + 150 + 56 = 268"", ""derived_number_str"": ""268"", ""derived_value"": 268.0, ""preceding_context"": ""Total omelets = "", ""is_final_answer"": false}, {""step_text"": ""268 omelets * 2 eggs/omelet = 536"", ""derived_number_str"": ""536"", ""derived_value"": 536.0, ""preceding_context"": ""Total eggs = "", ""is_final_answer"": true}]","[{""step_text"": ""53 small children + 35 older children + 75 adults + 37 seniors = 195"", ""derived_number_str"": ""195"", ""derived_value"": 195.0, ""preceding_context"": ""Number of people ="", ""is_final_answer"": false}, {""step_text"": ""26.5 + 35 + 150 + 56.5 = 262.5"", ""derived_number_str"": ""262.5"", ""derived_value"": 262.5, ""preceding_context"": ""Number of omelets ="", ""is_final_answer"": false}, {""step_text"": ""262.5 * 2 = 525"", ""derived_number_str"": ""525"", ""derived_value"": 525.0, ""preceding_context"": ""Total number of eggs ="", ""is_final_answer"": false}, {""step_text"": ""525 eggs + 25 = 550"", ""derived_number_str"": ""550"", ""derived_value"": 550.0, ""preceding_context"": ""Total number of eggs ="", ""is_final_answer"": true}]"
11,"[{""step_text"": ""the actual number of cans he paid for is 29"", ""derived_number_str"": ""29"", ""derived_value"": 29.0, ""preceding_context"": ""paid for is"", ""is_final_answer"": false}, {""step_text"": ""Price of one can \u2248 $0.6379"", ""derived_number_str"": ""0.6379"", ""derived_value"": 0.6379, ""preceding_context"": ""one can \u2248"", ""is_final_answer"": false}, {""step_text"": ""Cost of 30 cans \u2248 $19.137"", ""derived_number_str"": ""19.137"", ""derived_value"": 19.137, ""preceding_context"": ""30 cans \u2248"", ""is_final_answer"": false}, {""step_text"": ""Approximately $19.14"", ""derived_number_str"": ""19.14"", ""derived_value"": 19.14, ""preceding_context"": ""Answer: Approximately"", ""is_final_answer"": true}]","[{""step_text"": ""2 * $0.60 = $1.20"", ""derived_number_str"": ""$1.20"", ""derived_value"": 1.2, ""preceding_context"": ""2 cans is"", ""is_final_answer"": true}]","[{""step_text"": ""Cost of cans without discount = 30 * $0.60"", ""derived_number_str"": ""18"", ""derived_value"": 18.0, ""preceding_context"": ""Price of one can"", ""is_final_answer"": false}, {""step_text"": ""Cost of 2 cans = 2 * $0.60"", ""derived_number_str"": ""1.20"", ""derived_value"": 1.2, ""preceding_context"": ""Price of one can"", ""is_final_answer"": false}, {""step_text"": ""Total cost = $1.20 - $0.60"", ""derived_number_str"": ""0.60"", ""derived_value"": 0.6, ""preceding_context"": ""Cost of one free can"", ""is_final_answer"": true}]","[{""step_text"": ""$0.60 * 30"", ""derived_number_str"": ""18.00"", ""derived_value"": 18.0, ""preceding_context"": ""discount = $"", ""is_final_answer"": false}, {""step_text"": ""$18.00 / 2"", ""derived_number_str"": ""9.00"", ""derived_value"": 9.0, ""preceding_context"": ""discount = $"", ""is_final_answer"": true}]"
12,"[{""step_text"": ""36 * 0.25 = 9"", ""derived_number_str"": ""9"", ""derived_value"": 9.0, ""preceding_context"": ""36 * 0.25"", ""is_final_answer"": false}, {""step_text"": ""36 * 0.5 = 18"", ""derived_number_str"": ""18"", ""derived_value"": 18.0, ""preceding_context"": ""36 * 0.5"", ""is_final_answer"": false}, {""step_text"": ""36 - 9 - 18 = 9"", ""derived_number_str"": ""9"", ""derived_value"": 9.0, ""preceding_context"": ""9 - 18"", ""is_final_answer"": true}]","[{""step_text"": ""Number of dogs = 0.25 * 36\nNumber of dogs = 9"", ""derived_number_str"": ""9"", ""derived_value"": 9.0, ""preceding_context"": ""Number of dogs ="", ""is_final_answer"": false}, {""step_text"": ""Number of cats = 0.5 * 36\nNumber of cats = 18"", ""derived_number_str"": ""18"", ""derived_value"": 18.0, ""preceding_context"": ""Number of cats ="", ""is_final_answer"": false}, {""step_text"": ""Number of bunnies = 36 - 9 - 18\nNumber of bunnies = 9"", ""derived_number_str"": ""9"", ""derived_value"": 9.0, ""preceding_context"": ""Number of bunnies ="", ""is_final_answer"": true}]","[{""step_text"": ""36 * 0.25"", ""derived_number_str"": ""9"", ""derived_value"": 9.0, ""preceding_context"": ""dogs ="", ""is_final_answer"": false}, {""step_text"": ""36 * 0.5"", ""derived_number_str"": ""18"", ""derived_value"": 18.0, ""preceding_context"": ""cats ="", ""is_final_answer"": false}, {""step_text"": ""36 - 9 - 18"", ""derived_number_str"": ""9"", ""derived_value"": 9.0, ""preceding_context"": ""bunnies ="", ""is_final_answer"": true}]","[{""step_text"": ""25 / 100"", ""derived_number_str"": ""0.25"", ""derived_value"": 0.25, ""preceding_context"": ""36 * ("", ""is_final_answer"": false}, {""step_text"": ""36 * 0.25"", ""derived_number_str"": ""9"", ""derived_value"": 9.0, ""preceding_context"": ""dogs ="", ""is_final_answer"": false}, {""step_text"": ""50 / 100"", ""derived_number_str"": ""0.5"", ""derived_value"": 0.5, ""preceding_context"": ""36 * ("", ""is_final_answer"": false}, {""step_text"": ""36 * 0.5"", ""derived_number_str"": ""18"", ""derived_value"": 18.0, ""preceding_context"": ""cats ="", ""is_final_answer"": false}, {""step_text"": ""36 - 27"", ""derived_number_str"": ""9"", ""derived_value"": 9.0, ""preceding_context"": ""bunnies ="", ""is_final_answer"": true}]"
