id,cre_target_original,model_response_original,model_answer_original,cre_target_lexical,model_response_lexical,model_answer_lexical,cre_target_syntactic,model_response_syntactic,model_answer_syntactic,cre_target_contextual,model_response_contextual,model_answer_contextual
1,15.00,Final Answer: 15.00,15.00,15.00,Final Answer: 15.00,15.00,15.00,Final Answer: 15.00,15.00,15.00,Final Answer: 15.00,15.00
2,56,Final Answer: 56,56,28,Final Answer: 28,28,56,Final Answer: 56,56,50,Final Answer: 50,50
3,200,Final Answer: 200,200,140,Final Answer: 140,140,200,Final Answer: 200,200,200,Final Answer: 200,200
4,295,Final Answer: 295,295,295,Final Answer: 295,295,295,Final Answer: 295,295,295,Final Answer: 295,295
5,10,Final Answer: 10,10,11,Final Answer: 11,11,11,Final Answer: 11,11,11,Final Answer: 11,11
6,155,Final Answer: 155,155,155,Final Answer: 155,155,150,Final Answer: 150,150,155,Final Answer: 155,155
8,10,Final Answer: 10,10,40,Final Answer: 40,40,15,Final Answer: 15,15,20,Final Answer: 20,20
9,31.25,Final Answer: 31.25,31.25,31.25,Final Answer: 31.25,31.25,23.04,Final Answer: 23.04,23.04,31.25,Final Answer: 31.25,31.25
10,876,Final Answer: 876,876,876,Final Answer: 584,584,876,Final Answer: 876,876,876,Final Answer: 584,584
11,12.00,Final Answer: 12.00,12.00,12.00,Final Answer: 12.00,12.00,12.00,Final Answer: 12.00,12.00,12.00,Final Answer: 12.00,12.00
12,10,Final Answer: 10,10,10,Final Answer: 10,10,10,Final Answer: 10,10,10,Final Answer: 10,10
13,360,Final Answer: 360,360,360,Final Answer: 360,360,500,Final Answer: 500,500,500,Final Answer: 500,500
14,7.5,Final Answer: 7.5,7.5,8,Final Answer: 8,8,8,Final Answer: 8,8,14,Final Answer: 14,14
15,23,Final Answer: 23,23,22,Final Answer: 22,22,23,Final Answer: 23,23,23,Final Answer: 23,23
16,210,Final Answer: 210,210,180,Final Answer: 180,180,180,Final Answer: 180,180,380,Final Answer: 380,380
17,8,Final Answer: 8,8,10,Final Answer: 10,10,10,Final Answer: 10,10,10,Final Answer: 10,10
18,504,Final Answer: 504,504,504,Final Answer: 504,504,504,Final Answer: 504,504,504,Final Answer: 504,504
19,120,Final Answer: 120,120,120,Final Answer: 120,120,60,Final Answer: 60,60,120,Final Answer: 120,120
20,4,Final Answer: 4,4,6,Final Answer: 6,6,4,Final Answer: 4,4,6,Final Answer: 6,6
21,12,Final Answer: 12,12,12,Final Answer: 12,12,12,Final Answer: 12,12,13,Final Answer: 13,13
22,14,Final Answer: 14,14,8,Final Answer: 8,8,0,Final Answer: 0,0,0,Final Answer: 0,0
23,19,Final Answer: 19,19,15,Final Answer: 15,15,19,Final Answer: 19,19,19,Final Answer: 19,19
24,90,Final Answer: 90,90,150,Final Answer: 150,150,150,Final Answer: 150,150,150,Final Answer: 150,150
25,120,Final Answer: 120,120,120,Final Answer: 120,120,120,Final Answer: 120,120,120,Final Answer: 120,120
26,840,Final Answer: 840,840,800,Final Answer: 800,800,980,Final Answer: 980,980,800,Final Answer: 800,800
27,7/6,Final Answer: 7/6,7/6,2,Final Answer: 2,2,2,Final Answer: 2,2,5/4,Final Answer: 5/4,5/4
28,36,Final Answer: 36,36,30,Final Answer: 24,24,30,Final Answer: 30,30,30,Final Answer: 30,30
29,3,Final Answer: 3,3,3,Final Answer: 3,3,3,Final Answer: 3,3,1.5,Final Answer: 1.5,1.5
30,6,Final Answer: 6,6,6,Final Answer: 6,6,6,Final Answer: 6,6,7,Final Answer: 7,7
31,5680,Final Answer: 5680,5680,5500,Final Answer: 5500,5500,5650,Final Answer: 5650,5650,5770,Final Answer: 5770,5770
32,8,Final Answer: 8,8,15,Final Answer: 15,15,7.5,Final Answer: 7.5,7.5,12,Final Answer: 12,12
33,80,Final Answer: 80,80,80,Final Answer: 80,80,80,Final Answer: 80,80,80,Final Answer: 80,80
34,7,Final Answer: 7,7,2,Final Answer: 2,2,7,Final Answer: 7,7,2,Final Answer: 2,2
35,240,Final Answer: 240,240,240,Final Answer: 240,240,240,Final Answer: 240,240,240,Final Answer: 240,240
