id,plaus_original,plaus_pert1,plaus_pert2,plaus_pert3,Pmean
1,5,5,5,5,5.0
2,5,5,5,5,5.0
6,1,1,2,2,1.5
7,5,5,5,5,5.0
8,5,5,5,5,5.0
10,5,5,5,5,5.0
11,5,5,5,5,5.0
12,3,1,1,1,1.5
13,2,5,5,2,3.5
14,5,5,5,5,5.0
15,5,5,5,5,5.0
16,5,5,5,5,5.0
17,5,5,5,5,5.0
18,5,5,5,5,5.0
19,5,5,5,5,5.0
20,5,5,5,5,5.0
21,5,5,5,5,5.0
22,5,5,5,5,5.0
23,5,5,5,5,5.0
24,5,5,5,5,5.0
25,3,1,1,1,1.5
26,5,5,5,5,5.0
27,1,2,1,1,1.25
28,5,5,5,5,5.0
29,1,1,1,1,1.0
30,5,5,5,5,5.0
31,5,5,5,5,5.0
32,5,5,5,5,5.0
33,5,5,5,5,5.0
34,5,5,5,5,5.0
35,5,5,5,5,5.0
36,5,5,5,5,5.0
37,5,5,5,5,5.0
38,5,5,5,5,5.0
39,1,1,1,1,1.0
41,5,5,5,5,5.0
42,5,5,5,5,5.0
44,5,5,5,5,5.0
45,5,5,5,5,5.0
46,5,5,5,5,5.0
48,2,1,1,1,1.25
50,5,5,5,5,5.0
51,5,5,5,5,5.0
52,5,5,5,5,5.0
53,5,5,5,5,5.0
54,5,5,5,5,5.0
55,5,5,5,5,5.0
56,5,5,5,5,5.0
58,1,1,1,1,1.0
59,1,1,1,1,1.0
63,5,5,5,5,5.0
64,5,5,5,5,5.0
65,5,5,5,5,5.0
66,5,5,5,5,5.0
67,5,5,5,5,5.0
68,5,2,5,5,4.25
69,5,5,5,5,5.0
70,5,5,5,5,5.0
71,5,5,5,5,5.0
74,2,1,1,1,1.25
75,5,5,5,5,5.0
77,5,5,5,5,5.0
78,5,5,5,5,5.0
79,5,5,1,5,4.0
80,1,1,1,2,1.25
81,5,5,5,5,5.0
82,5,5,5,5,5.0
83,1,1,1,1,1.0
84,5,5,5,5,5.0
85,5,5,5,5,5.0
86,5,5,5,5,5.0
87,5,5,5,5,5.0
88,5,5,5,5,5.0
89,5,5,5,5,5.0
90,5,5,5,5,5.0
91,5,5,5,5,5.0
92,5,5,5,5,5.0
93,5,5,5,5,5.0
95,1,2,5,2,2.5
97,5,5,5,5,5.0
99,5,5,5,5,5.0
101,5,5,5,5,5.0
102,5,5,5,5,5.0
103,5,5,5,5,5.0
104,5,5,5,5,5.0
106,5,5,5,5,5.0
107,5,5,5,5,5.0
108,5,5,5,5,5.0
109,5,5,5,5,5.0
110,5,5,5,5,5.0
111,5,5,5,5,5.0
112,5,5,5,5,5.0
114,5,5,5,5,5.0
117,5,5,5,5,5.0
119,1,1,2,1,1.25
120,2,1,2,1,1.5
122,1,5,1,2,2.25
123,5,5,5,5,5.0
124,5,5,5,5,5.0
125,1,1,1,1,1.0
126,1,1,1,1,1.0
127,5,5,5,5,5.0
128,5,5,5,5,5.0
130,5,5,5,5,5.0
131,1,1,1,1,1.0
132,5,5,5,5,5.0
133,1,1,1,1,1.0
134,5,5,5,5,5.0
135,5,5,5,5,5.0
136,1,1,1,1,1.0
137,5,5,5,5,5.0
138,5,5,5,5,5.0
141,5,5,5,5,5.0
142,5,5,5,5,5.0
143,1,1,2,1,1.25
144,5,5,5,5,5.0
146,5,5,5,5,5.0
148,5,5,5,5,5.0
150,5,5,5,5,5.0
151,5,5,5,5,5.0
152,5,5,5,5,5.0
154,5,5,5,5,5.0
156,5,5,5,5,5.0
157,5,5,5,5,5.0
159,5,5,5,5,5.0
160,5,5,5,5,5.0
161,5,5,5,5,5.0
164,5,5,5,5,5.0
165,1,1,1,1,1.0
167,5,5,5,5,5.0
168,1,1,1,1,1.0
169,5,5,5,5,5.0
170,5,5,5,5,5.0
171,5,5,5,5,5.0
173,5,5,5,5,5.0
174,1,1,1,1,1.0
175,5,5,5,5,5.0
177,5,5,5,5,5.0
179,1,2,1,2,1.5
180,5,5,5,5,5.0
181,5,5,5,5,5.0
182,1,1,1,1,1.0
183,5,1,5,5,4.0
184,5,5,5,5,5.0
185,5,5,5,5,5.0
186,5,5,5,5,5.0
187,5,5,5,5,5.0
188,5,5,5,5,5.0
189,5,5,5,5,5.0
190,5,5,5,5,5.0
191,1,1,1,1,1.0
193,1,1,1,1,1.0
194,5,5,5,5,5.0
195,5,5,5,5,5.0
196,5,5,5,5,5.0
198,5,5,5,5,5.0
199,5,5,5,5,5.0
