id,original_answer,lexical_answer,syntactic_answer,indirect_answer,target_answer,gold_answer,original_accuracy,lexical_accuracy,syntactic_accuracy,indirect_accuracy,mean_accuracy
1,True,True,True,True,True,True,1,1,1,1,1.0
2,False,False,False,False,False,False,1,1,1,1,1.0
3,False,False,False,False,False,False,1,1,1,1,1.0
4,False,True,True,False,True,True,0,1,1,0,0.5
5,True,False,True,True,False,False,0,1,0,0,0.25
6,False,False,False,False,False,False,1,1,1,1,1.0
7,False,False,False,False,False,False,1,1,1,1,1.0
8,False,False,True,False,True,True,0,0,1,0,0.25
9,False,False,False,False,False,False,1,1,1,1,1.0
10,False,False,False,False,False,False,1,1,1,1,1.0
11,True,True,True,False,True,True,1,1,1,0,0.75
12,False,False,False,False,False,False,1,1,1,1,1.0
13,False,False,False,True,False,False,1,1,1,0,0.75
15,False,False,False,False,True,True,0,0,0,0,0.0
16,False,False,False,False,True,True,0,0,0,0,0.0
17,False,False,False,True,False,False,1,1,1,0,0.75
18,False,False,False,False,True,True,0,0,0,0,0.0
19,False,False,False,True,False,False,1,1,1,0,0.75
20,False,True,True,True,True,True,0,1,1,1,0.75
22,False,False,False,False,False,False,1,1,1,1,1.0
24,False,False,False,False,False,False,1,1,1,1,1.0
25,False,False,False,True,False,False,1,1,1,0,0.75
28,False,False,False,False,True,True,0,0,0,0,0.0
29,False,False,True,False,True,True,0,0,1,0,0.25
30,False,False,False,False,False,False,1,1,1,1,1.0
31,False,False,False,False,False,False,1,1,1,1,1.0
32,True,True,True,False,True,True,1,1,1,0,0.75
34,False,False,False,False,True,True,0,0,0,0,0.0
35,False,False,False,False,True,True,0,0,0,0,0.0
36,False,False,False,False,False,False,1,1,1,1,1.0
37,False,False,False,False,False,False,1,1,1,1,1.0
38,False,False,False,False,True,True,0,0,0,0,0.0
39,True,True,True,False,True,True,1,1,1,0,0.75
41,False,False,False,False,True,True,0,0,0,0,0.0
42,False,False,False,False,False,False,1,1,1,1,1.0
43,True,True,True,False,False,False,0,0,0,1,0.25
44,False,False,False,False,False,False,1,1,1,1,1.0
45,False,False,False,True,False,False,1,1,1,0,0.75
47,False,False,False,False,True,True,0,0,0,0,0.0
48,False,False,False,False,True,True,0,0,0,0,0.0
49,False,False,False,False,False,False,1,1,1,1,1.0
50,False,False,False,False,True,True,0,0,0,0,0.0
51,False,False,False,False,False,False,1,1,1,1,1.0
52,False,False,False,False,True,True,0,0,0,0,0.0
53,False,False,False,False,False,False,1,1,1,1,1.0
54,False,False,False,False,False,False,1,1,1,1,1.0
55,False,True,True,False,False,False,1,0,0,1,0.5
56,False,False,False,False,False,False,1,1,1,1,1.0
57,False,False,False,False,False,False,1,1,1,1,1.0
58,False,False,False,False,False,False,1,1,1,1,1.0
60,True,True,True,True,True,True,1,1,1,1,1.0
62,False,False,False,False,True,True,0,0,0,0,0.0
63,True,True,True,True,True,True,1,1,1,1,1.0
64,False,False,False,False,False,False,1,1,1,1,1.0
65,False,False,False,False,False,False,1,1,1,1,1.0
66,False,False,False,False,False,False,1,1,1,1,1.0
67,False,False,False,False,False,False,1,1,1,1,1.0
68,False,False,False,False,False,False,1,1,1,1,1.0
69,True,True,False,True,True,True,1,1,0,1,0.75
70,False,False,False,False,False,False,1,1,1,1,1.0
71,False,False,False,False,False,False,1,1,1,1,1.0
72,False,False,False,False,True,True,0,0,0,0,0.0
73,False,True,False,True,False,False,1,0,1,0,0.5
75,False,False,False,False,False,False,1,1,1,1,1.0
76,False,False,False,False,False,False,1,1,1,1,1.0
77,False,False,False,False,True,True,0,0,0,0,0.0
78,False,False,False,False,False,False,1,1,1,1,1.0
79,False,False,False,False,False,False,1,1,1,1,1.0
80,True,True,False,False,True,True,1,1,0,0,0.5
81,False,False,False,True,True,True,0,0,0,1,0.25
82,False,False,False,False,False,False,1,1,1,1,1.0
84,False,False,False,False,False,False,1,1,1,1,1.0
85,False,True,False,False,True,True,0,1,0,0,0.25
87,False,False,False,False,False,False,1,1,1,1,1.0
88,False,False,False,False,False,False,1,1,1,1,1.0
89,False,False,False,False,True,True,0,0,0,0,0.0
90,False,False,False,False,True,True,0,0,0,0,0.0
91,False,False,False,False,False,False,1,1,1,1,1.0
93,True,True,False,True,True,True,1,1,0,1,0.75
95,False,False,False,False,False,False,1,1,1,1,1.0
98,False,False,False,True,True,True,0,0,0,1,0.25
99,True,True,False,False,True,True,1,1,0,0,0.5
100,False,False,False,False,True,True,0,0,0,0,0.0
101,False,True,False,False,True,True,0,1,0,0,0.25
103,False,False,False,False,True,True,0,0,0,0,0.0
104,True,True,False,False,True,True,1,1,0,0,0.5
105,False,False,False,False,False,False,1,1,1,1,1.0
106,False,False,True,True,True,True,0,0,1,1,0.5
107,True,True,True,True,True,True,1,1,1,1,1.0
108,False,False,False,False,False,False,1,1,1,1,1.0
109,False,False,False,False,False,False,1,1,1,1,1.0
111,False,False,False,False,True,True,0,0,0,0,0.0
112,True,True,True,True,True,True,1,1,1,1,1.0
113,False,False,True,False,True,True,0,0,1,0,0.25
115,False,False,False,False,True,True,0,0,0,0,0.0
119,False,False,False,False,False,False,1,1,1,1,1.0
